hev,runs
0.657,-0.1499999999999999
0.658,-0.14820359281437123
0.659,-0.14640718562874233
0.66,-0.14461077844311365
0.661,-0.14281437125748497
0.662,-0.14101796407185607
0.663,-0.1392215568862274
0.664,-0.13742514970059871
0.665,-0.13562874251497004
0.666,-0.13383233532934113
0.667,-0.13203592814371246
0.668,-0.13023952095808378
0.669,-0.12844311377245488
0.67,-0.1266467065868262
0.671,-0.12485029940119752
0.672,-0.12305389221556862
0.673,-0.12125748502993994
0.674,-0.11946107784431126
0.675,-0.11766467065868258
0.676,-0.11586826347305368
0.677,-0.114071856287425
0.678,-0.11227544910179632
0.679,-0.11047904191616742
0.68,-0.10868263473053874
0.681,-0.10688622754491006
0.682,-0.10508982035928116
0.683,-0.10329341317365248
0.684,-0.1014970059880238
0.685,-0.09970059880239512
0.686,-0.09790419161676622
0.687,-0.09610778443113754
0.688,-0.09431137724550909
0.689,-0.09251497005988019
0.69,-0.09071856287425151
0.691,-0.08892215568862283
0.692,-0.08712574850299393
0.693,-0.08532934131736525
0.694,-0.08353293413173657
0.695,-0.08173652694610789
0.696,-0.07994011976047899
0.697,-0.07814371257485031
0.698,-0.07634730538922163
0.699,-0.07455089820359273
0.7,-0.07275449101796405
0.701,-0.07095808383233537
0.702,-0.06916167664670647
0.703,-0.06736526946107779
0.704,-0.06556886227544911
0.705,-0.06377245508982043
0.706,-0.061976047904191534
0.707,-0.060179640718562855
0.708,-0.058383233532934176
0.709,-0.056586826347305275
0.71,-0.054790419161676596
0.711,-0.05299401197604792
0.712,-0.05119760479041924
0.713,-0.04940119760479034
0.714,-0.04760479041916166
0.715,-0.04580838323353298
0.716,-0.04401197604790408
0.717,-0.0422155688622754
0.718,-0.04041916167664672
0.719,-0.03862275449101782
0.72,-0.03682634730538914
0.721,-0.03502994011976046
0.722,-0.03323353293413178
0.723,-0.03143712574850288
0.724,-0.029640718562874202
0.725,-0.027844311377245523
0.726,-0.026047904191616622
0.727,-0.024251497005987943
0.728,-0.022455089820359264
0.729,-0.020658682634730363
0.73,-0.018862275449101684
0.731,-0.017065868263473005
0.732,-0.015269461077844326
0.733,-0.013473053892215425
0.734,-0.011676646706586746
0.735,-0.009880239520958067
0.736,-0.008083832335329166
0.737,-0.006287425149700487
0.738,-0.004491017964071808
0.739,-0.0026946107784431295
0.74,-0.0008982035928142285
0.741,0.0008982035928144505
0.742,0.0026946107784431295
0.743,0.0044910179640720305
0.744,0.006287425149700709
0.745,0.008083832335329388
0.746,0.00988023952095829
0.747,0.011676646706586968
0.748,0.013473053892215647
0.749,0.015269461077844326
0.75,0.017065868263473227
0.751,0.018862275449101906
0.752,0.020658682634730585
0.753,0.022455089820359486
0.754,0.024251497005988165
0.755,0.026047904191616844
0.756,0.027844311377245745
0.757,0.029640718562874424
0.758,0.0314371257485031
0.759,0.03323353293413178
0.76,0.03502994011976068
0.761,0.03682634730538936
0.762,0.03862275449101804
0.763,0.04041916167664694
0.764,0.04221556886227562
0.765,0.0440119760479043
0.766,0.04580838323353298
0.767,0.04760479041916188
0.768,0.04940119760479056
0.769,0.05119760479041924
0.77,0.05299401197604814
0.771,0.05479041916167682
0.772,0.0565868263473055
0.773,0.0583832335329344
0.774,0.06017964071856308
0.775,0.061976047904191756
0.776,0.06377245508982043
0.777,0.06556886227544934
0.778,0.06736526946107801
0.779,0.0691616766467067
0.78,0.0709580838323356
0.781,0.07275449101796427
0.782,0.07455089820359295
0.783,0.07634730538922185
0.784,0.07814371257485053
0.785,0.07994011976047921
0.786,0.08173652694610789
0.787,0.08353293413173679
0.788,0.08532934131736547
0.789,0.08712574850299415
0.79,0.08892215568862305
0.791,0.09071856287425173
0.792,0.09251497005988041
0.793,0.09431137724550909
0.794,0.09610778443113799
0.795,0.09790419161676667
0.796,0.09970059880239535
0.797,0.10149700598802425
0.798,0.10329341317365293
0.799,0.1050898203592816
0.8,0.1068862275449105
0.801,0.10868263473053918
0.802,0.11047904191616786
0.803,0.11227544910179654
0.804,0.11407185628742544
0.805,0.11586826347305412
0.806,0.1176646706586828
0.807,0.1194610778443117
0.808,0.12125748502994038
0.809,0.12305389221556906
0.81,0.12485029940119796
0.811,0.12664670658682664
0.812,0.12844311377245532
0.813,0.130239520958084
0.814,0.13203592814371268
0.815,0.13383233532934136
0.816,0.13562874251497004
0.817,0.13742514970059894
0.818,0.13922155688622762
0.819,0.1410179640718563
0.82,0.1428143712574852
0.821,0.14461077844311387
0.822,0.14640718562874255
0.823,0.14820359281437123
0.824,0.15000000000000013
